epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.211,0.84325,1.32465,1.19834,0.9302,0.94059,0.98407,0.8074,0.72466,1.35046,1.29276,0.000662192,0.000662192,0.000662192
2,352.297,0.83357,0.98176,1.18256,0.98018,0.97933,0.9836,0.75403,0.78477,1.25519,1.23313,0.000890336,0.000890336,0.000890336
3,526.126,0.7592,0.84219,1.12915,0.9976,1,0.995,0.86318,0.55034,0.78417,1.01244,0.000678479,0.000678479,0.000678479
