id,curso_actual,tema_actual,motivo
3059,Algebra,Teoria de Exponentes,tema_no_mapeado
3062,Algebra,Teoria de Exponentes,tema_no_mapeado
3063,Algebra,Teoria de Exponentes,tema_no_mapeado
3064,Algebra,Teoria de Exponentes,tema_no_mapeado
3066,Algebra,Teoria de Exponentes,tema_no_mapeado
3067,Algebra,Teoria de Exponentes,tema_no_mapeado
3068,Algebra,Teoria de Exponentes,tema_no_mapeado
3069,Algebra,Teoria de Exponentes,tema_no_mapeado
3070,Algebra,Teoria de Exponentes,tema_no_mapeado
3072,Algebra,Teoria de Exponentes,tema_no_mapeado
3073,Algebra,Teoria de Exponentes,tema_no_mapeado
3074,Algebra,Teoria de Exponentes,tema_no_mapeado
3075,Algebra,Teoria de Exponentes,tema_no_mapeado
3076,Algebra,Teoria de Exponentes,tema_no_mapeado
3150,Algebra,Teoria de Exponentes,tema_no_mapeado
3151,Algebra,Teoria de Exponentes,tema_no_mapeado
3152,Algebra,Teoria de Exponentes,tema_no_mapeado
3153,Algebra,Teoria de Exponentes,tema_no_mapeado
3154,Algebra,Teoria de Exponentes,tema_no_mapeado
3155,Algebra,Teoria de Exponentes,tema_no_mapeado
3156,Algebra,Teoria de Exponentes,tema_no_mapeado
3157,Algebra,Teoria de Exponentes,tema_no_mapeado
3158,Algebra,Teoria de Exponentes,tema_no_mapeado
3159,Algebra,Teoria de Exponentes,tema_no_mapeado
3160,Algebra,Teoria de Exponentes,tema_no_mapeado
3161,Algebra,Teoria de Exponentes,tema_no_mapeado
3162,Algebra,Teoria de Exponentes,tema_no_mapeado
3163,Algebra,Teoria de Exponentes,tema_no_mapeado
3164,Algebra,Teoria de Exponentes,tema_no_mapeado
3165,Algebra,Teoria de Exponentes,tema_no_mapeado
3166,Algebra,Teoria de Exponentes,tema_no_mapeado
3167,Algebra,Teoria de Exponentes,tema_no_mapeado
3168,Algebra,Teoria de Exponentes,tema_no_mapeado
3169,Algebra,Teoria de Exponentes,tema_no_mapeado
3170,Algebra,Teoria de Exponentes,tema_no_mapeado
3171,Algebra,Teoria de Exponentes,tema_no_mapeado
3172,Algebra,Teoria de Exponentes,tema_no_mapeado
3173,Algebra,Teoria de Exponentes,tema_no_mapeado
3174,Algebra,Teoria de Exponentes,tema_no_mapeado
3175,Algebra,Teoria de Exponentes,tema_no_mapeado
3176,Algebra,Teoria de Exponentes,tema_no_mapeado
3177,Algebra,Teoria de Exponentes,tema_no_mapeado
3178,Algebra,Teoria de Exponentes,tema_no_mapeado
3179,Algebra,Teoria de Exponentes,tema_no_mapeado
3180,Algebra,Teoria de Exponentes,tema_no_mapeado
3181,Algebra,Teoria de Exponentes,tema_no_mapeado
3182,Algebra,Teoria de Exponentes,tema_no_mapeado
3183,Algebra,Teoria de Exponentes,tema_no_mapeado
3184,Algebra,Teoria de Exponentes,tema_no_mapeado
3185,Algebra,Teoria de Exponentes,tema_no_mapeado
3186,Algebra,Teoria de Exponentes,tema_no_mapeado
3187,Algebra,Teoria de Exponentes,tema_no_mapeado
3188,Algebra,Teoria de Exponentes,tema_no_mapeado
3189,Algebra,Teoria de Exponentes,tema_no_mapeado
3190,Algebra,Teoria de Exponentes,tema_no_mapeado
3191,Algebra,Teoria de Exponentes,tema_no_mapeado
3192,Algebra,Teoria de Exponentes,tema_no_mapeado
3193,Algebra,Teoria de Exponentes,tema_no_mapeado
3194,Algebra,Teoria de Exponentes,tema_no_mapeado
3195,Algebra,Teoria de Exponentes,tema_no_mapeado
3196,Algebra,Teoria de Exponentes,tema_no_mapeado
3197,Algebra,Teoria de Exponentes,tema_no_mapeado
3198,Algebra,Teoria de Exponentes,tema_no_mapeado
3199,Algebra,Teoria de Exponentes,tema_no_mapeado
3200,Algebra,Teoria de Exponentes,tema_no_mapeado
3201,Algebra,Teoria de Exponentes,tema_no_mapeado
3202,Algebra,Teoria de Exponentes,tema_no_mapeado
3203,Algebra,Teoria de Exponentes,tema_no_mapeado
3204,Algebra,Teoria de Exponentes,tema_no_mapeado
3205,Algebra,Teoria de Exponentes,tema_no_mapeado
3206,Algebra,Teoria de Exponentes,tema_no_mapeado
3207,Algebra,Teoria de Exponentes,tema_no_mapeado
3208,Algebra,Teoria de Exponentes,tema_no_mapeado
3209,Algebra,Teoria de Exponentes,tema_no_mapeado
3210,Algebra,Teoria de Exponentes,tema_no_mapeado
3211,Algebra,Teoria de Exponentes,tema_no_mapeado
3212,Algebra,Teoria de Exponentes,tema_no_mapeado
3213,Algebra,Teoria de Exponentes,tema_no_mapeado
