id,curso,tema,subtema,tema_id,subtema_id
323,Trigonometria,Sistemas de Medidas Angulares,,,
324,Trigonometria,Sistemas de Medidas Angulares,,,
325,Trigonometria,Sistemas de Medidas Angulares,,,
326,Trigonometria,Sistemas de Medidas Angulares,,,
327,Trigonometria,Sistemas de Medidas Angulares,,,
328,Trigonometria,Sistemas de Medidas Angulares,,,
329,Trigonometria,Sistemas de Medidas Angulares,,,
330,Trigonometria,Sistemas de Medidas Angulares,,,
331,Trigonometria,Sistemas de Medidas Angulares,,,
332,Trigonometria,Sistemas de Medidas Angulares,,,
333,Trigonometria,Angulo Trigonometrico,,,
334,Trigonometria,Sistemas de Medidas Angulares,,,
335,Trigonometria,Sistemas de Medidas Angulares,,,
336,Trigonometria,Sistemas de Medidas Angulares,,,
337,Trigonometria,Sistemas de Medidas Angulares,,,
338,Trigonometria,Sistemas de Medidas Angulares,,,
339,Trigonometria,Angulo Trigonometrico,,,
340,Trigonometria,Sistemas de Medidas Angulares,,,
341,Trigonometria,Sistemas de Medidas Angulares,,,
342,Trigonometria,Sistemas de Medidas Angulares,,,
343,Trigonometria,Sistemas de Medidas Angulares,,,
344,Trigonometria,Angulo Trigonometrico,,,
345,Trigonometria,Sistemas de Medidas Angulares,,,
346,Trigonometria,Sistemas de Medidas Angulares,,,
347,Trigonometria,Sistemas de Medidas Angulares,,,
348,Trigonometria,Sistemas de Medidas Angulares,,,
349,Trigonometria,Angulo Trigonometrico,,,
350,Trigonometria,Sistemas de Medidas Angulares,,,
351,Trigonometria,Sistemas de Medidas Angulares,,,
352,Trigonometria,Sistemas de Medidas Angulares,,,
353,Trigonometria,Sistemas de Medidas Angulares,,,
354,Trigonometria,Sistemas de Medidas Angulares,,,
355,Trigonometria,Sistemas de Medidas Angulares,,,
356,Trigonometria,Sistemas de Medidas Angulares,,,
357,Trigonometria,Angulo Trigonometrico,,,
358,Trigonometria,Angulo Trigonometrico,,,
359,Trigonometria,Sistemas de Medidas Angulares,,,
360,Trigonometria,Sistemas de Medidas Angulares,,,
361,Trigonometria,Sistemas de Medidas Angulares,,,
362,Trigonometria,Sistemas de Medidas Angulares,,,
363,Trigonometria,Sistemas de Medidas Angulares,,,
364,Trigonometria,Sistemas de Medidas Angulares,,,
365,Trigonometria,Sistemas de Medidas Angulares,,,
366,Trigonometria,Sistemas de Medidas Angulares,,,
367,Trigonometria,Sistemas de Medidas Angulares,,,
368,Trigonometria,Angulo Trigonometrico,,,
369,Trigonometria,Angulo Trigonometrico,,,
370,Trigonometria,Sistemas de Medidas Angulares,,,
371,Trigonometria,Sistemas de Medidas Angulares,,,
372,Trigonometria,Sistemas de Medidas Angulares,,,
373,Trigonometria,Sistemas de Medidas Angulares,,,
374,Trigonometria,Angulo Trigonometrico,,,
375,Trigonometria,Sistemas de Medidas Angulares,,,
376,Trigonometria,Sistemas de Medidas Angulares,,,
377,Trigonometria,Sistemas de Medidas Angulares,,,
378,Trigonometria,Sistemas de Medidas Angulares,,,
379,Trigonometria,Sistemas de Medidas Angulares,,,
380,Trigonometria,Sistemas de Medidas Angulares,,,
381,Trigonometria,Sistemas de Medidas Angulares,,,
382,Trigonometria,Sistemas de Medidas Angulares,,,
383,Trigonometria,Sistemas de Medidas Angulares,,,
384,Trigonometria,Sistemas de Medidas Angulares,,,
385,Trigonometria,Sistemas de Medidas Angulares,,,
386,Trigonometria,Sistemas de Medidas Angulares,,,
387,Trigonometria,Angulo Trigonometrico,,,
388,Trigonometria,Sistemas de Medidas Angulares,,,
389,Trigonometria,Sistemas de Medidas Angulares,,,
390,Trigonometria,Sistemas de Medidas Angulares,,,
391,Trigonometria,Sistemas de Medidas Angulares,,,
392,Trigonometria,Sistemas de Medidas Angulares,,,
393,Trigonometria,Sistemas de Medidas Angulares,,,
394,Trigonometria,Sistemas de Medidas Angulares,,,
395,Trigonometria,Sistemas de Medidas Angulares,,,
396,Trigonometria,Sistemas de Medidas Angulares,,,
397,Trigonometria,Sistemas de Medidas Angulares,,,
398,Trigonometria,Sistemas de Medidas Angulares,,,
399,Trigonometria,Sistemas de Medidas Angulares,,,
400,Trigonometria,Sistemas de Medidas Angulares,,,
401,Trigonometria,Sistemas de Medidas Angulares,,,
402,Trigonometria,Sistemas de Medidas Angulares,,,
403,Trigonometria,Sistemas de Medidas Angulares,,,
404,Trigonometria,Longitud de Arco,,,
405,Trigonometria,Longitud de Arco,,,
406,Trigonometria,Longitud de Arco,,,
407,Trigonometria,Sector Circular,,,
408,Trigonometria,Sector Circular,,,
409,Trigonometria,Longitud de Arco,,,
410,Trigonometria,Longitud de Arco,,,
411,Trigonometria,Longitud de Arco,,,
412,Trigonometria,Longitud de Arco,,,
413,Trigonometria,Longitud de Arco,,,
414,Trigonometria,Sector Circular,,,
415,Trigonometria,Sector Circular,,,
416,Trigonometria,Sector Circular,,,
417,Trigonometria,Sector Circular,,,
418,Trigonometria,Sector Circular,,,
419,Trigonometria,Sector Circular,,,
420,Trigonometria,Sector Circular,,,
421,Trigonometria,Longitud de Arco,,,
422,Trigonometria,Sector Circular,,,
423,Trigonometria,Longitud de Arco,,,
424,Trigonometria,Sector Circular,,,
425,Trigonometria,Sector Circular,,,
426,Trigonometria,Sector Circular,,,
427,Trigonometria,Sector Circular,,,
428,Trigonometria,Sector Circular,,,
429,Trigonometria,Sector Circular,,,
430,Trigonometria,Sector Circular,,,
431,Trigonometria,Sector Circular,,,
432,Trigonometria,Sector Circular,,,
433,Trigonometria,Sector Circular,,,
434,Trigonometria,Sector Circular,,,
435,Trigonometria,Longitud de Arco,,,
436,Trigonometria,Sector Circular,,,
437,Trigonometria,Longitud de Arco,,,
438,Trigonometria,Sector Circular,,,
439,Trigonometria,Longitud de Arco,,,
440,Trigonometria,Longitud de Arco,,,
441,Trigonometria,Sector Circular,,,
442,Trigonometria,Sector Circular,,,
443,Trigonometria,Sector Circular,,,
444,Trigonometria,Longitud de Arco,,,
445,Trigonometria,Longitud de Arco,,,
446,Trigonometria,Longitud de Arco,,,
447,Trigonometria,Sector Circular,,,
448,Trigonometria,Sector Circular,,,
449,Trigonometria,Sector Circular,,,
450,Trigonometria,Sector Circular,,,
451,Trigonometria,Longitud de Arco,,,
452,Trigonometria,Longitud de Arco,,,
453,Trigonometria,Longitud de Arco,,,
454,Trigonometria,Longitud de Arco,,,
455,Trigonometria,Longitud de Arco,,,
456,Trigonometria,Longitud de Arco,,,
457,Trigonometria,Sector Circular,,,
458,Trigonometria,Sector Circular,,,
459,Trigonometria,Sector Circular,,,
460,Trigonometria,Sector Circular,,,
461,Trigonometria,Longitud de Arco,,,
462,Trigonometria,Sector Circular,,,
463,Trigonometria,Longitud de Arco,,,
464,Trigonometria,Longitud de Arco,,,
465,Trigonometria,Longitud de Arco,,,
466,Trigonometria,Sector Circular,,,
467,Trigonometria,Longitud de Arco,,,
468,Trigonometria,Sector Circular,,,
469,Trigonometria,Longitud de Arco,,,
470,Trigonometria,Longitud de Arco,,,
471,Trigonometria,Sector Circular,,,
472,Trigonometria,Longitud de Arco,,,
473,Trigonometria,Longitud de Arco,,,
474,Trigonometria,Longitud de Arco,,,
475,Trigonometria,Sector Circular,,,
476,Trigonometria,Longitud de Arco,,,
477,Trigonometria,Longitud de Arco,,,
478,Trigonometria,Longitud de Arco,,,
479,Trigonometria,Sector Circular,,,
480,Trigonometria,Longitud de Arco,,,
481,Trigonometria,Sector Circular,,,
482,Trigonometria,Longitud de Arco,,,
483,Trigonometria,Sector Circular,,,
484,Trigonometria,Longitud de Arco,,,
485,Trigonometria,Sector Circular,,,
486,Trigonometria,Longitud de Arco,,,
487,Trigonometria,Sector Circular,,,
488,Trigonometria,Longitud de Arco,,,
